"","buyer_id","orderdate","buyer_age","buyer_gender","buyer_annual_income","shop","packaging","city","article_group","article","article_price","recipient_age","recipient_gender","recipient_relation"
"120","280",2017-12-29 01:20:29,32,"female",26000,"online","no","Köln","books","Crime Thrillers",31.99,29,"female","sister"
"121","654",2017-02-09 16:34:53,44,"female",26500,"online","no","Bielefeld","disks","TV serial - DVD",32.99,7,"male","nephew"
"122","685",2017-02-15 13:06:59,45,"female",36000,"online","no","Köln","books","Fantasy & Science Fiction",32.99,50,"female","sister"
"123","190",2017-04-12 20:34:19,28,"female",27000,"online","no","Düsseldorf","books","Fantasy & Science Fiction",32.99,92,"female","mother"
"124","104",2017-09-08 03:15:06,24,"male",38000,"online","yes","Osnabrück","books","Crime Thrillers",32.99,67,"male","father"
"125","257",2017-11-12 14:49:15,31,"male",27500,"store","no","Düsseldorf","books","Crime Thrillers",32.99,56,"female","mother"
"126","263",2017-11-18 00:46:23,31,"female",35500,"online","yes","Münster","books","Fiction",32.99,22,"female","friend"
"127","207",2017-11-21 07:03:53,29,"male",30000,"online","no","Paderborn","disks","Music-Album - CD",32.99,33,"other","undefined"
"128","618",2017-12-15 10:15:00,43,"female",33500,"store","yes","Düsseldorf","disks","Movie - Blu Ray",32.99,72,"female","friend"
"129","313",2017-12-20 13:51:19,33,"male",36500,"store","yes","Münster","disks","TV serial - Blu Ray",32.99,38,"male","boyfriend"
"130","264",2017-03-12 08:23:21,31,"female",36000,"online","no","Münster","disks","Movie - Blu Ray",33.99,61,"male","uncle"
"131","608",2017-05-18 21:26:53,42,"male",51000,"online","yes","Düsseldorf","books","Crime Thrillers",33.99,26,"female","sister"
"132","601",2017-06-17 13:19:19,42,"female",44500,"store","no","Düsseldorf","disks","Music-Album - CD",33.99,26,"female","sister"
"133","58",2017-08-19 17:25:26,22,"female",35000,"online","no","Paderborn","books","Fiction",33.99,31,"female","sister"
"134","953",2017-12-17 18:36:49,53,"female",60000,"store","no","Münster","disks","Movie - Blu Ray",33.99,13,"male","son"
"135","665",2017-12-20 15:42:02,44,"male",46500,"store","yes","Hannover","books","Travel & Adventure",33.99,65,"female","mother"
"136","1148",2017-02-12 12:27:34,60,"male",44000,"store","no","Osnabrück","books","Crime Thrillers",34.99,71,"male","brother"
"137","624",2017-02-14 00:07:50,43,"female",40000,"online","no","Dortmund","disks","Music-Album - CD",34.99,54,"male","friend"
"138","1001",2017-12-18 12:55:26,55,"female",40000,"store","yes","Osnabrück","disks","Movie - Blu Ray",34.99,13,"male","friend"
"139","1145",2017-01-15 17:59:04,60,"female",39500,"store","no","Düsseldorf","books","Fiction",35.99,63,"female","friend"
"140","287",2017-01-17 14:21:28,32,"female",34000,"online","yes","Dortmund","books","Fantasy & Science Fiction",35.99,72,"male","father"
"141","142",2017-07-12 22:11:46,26,"female",30000,"online","no","Düsseldorf","books","Fantasy & Science Fiction",35.99,79,"male","uncle"
"142","282",2017-10-14 12:17:11,32,"female",29000,"online","yes","Gelsenkirchen","books","Fiction",35.99,55,"male","father"
"143","721",2017-12-13 15:09:58,46,"female",50500,"store","yes","Münster","books","Crime Thrillers",35.99,78,"female","aunt"
"144","343",2017-12-14 14:13:54,34,"female",41000,"store","yes","Düsseldorf","books","Travel & Adventure",35.99,25,"female","friend"
"145","944",2017-01-13 05:13:24,53,"male",53000,"online","yes","Münster","disks","Movie - Blu Ray",36.99,46,"female","friend"
"146","1034",2017-02-21 00:19:14,56,"female",48500,"online","yes","Gelsenkirchen","books","Crime Thrillers",36.99,70,"male","friend"
"147","705",2017-02-21 17:16:32,46,"female",32000,"online","no","Gelsenkirchen","books","Mystery",36.99,46,"male","boyfriend"
"148","198",2017-06-13 08:02:52,28,"male",41000,"online","yes","Paderborn","disks","Movie - Blu Ray",36.99,26,"male","friend"
"149","41",2017-08-21 19:53:44,21,"female",28000,"store","yes","Osnabrück","books","Fantasy & Science Fiction",36.99,38,"other","undefined"
"150","194",2017-12-18 20:42:53,28,"female",36500,"online","yes","Düsseldorf","books","Travel & Adventure",36.99,62,"female","aunt"
"151","99",2017-01-18 12:05:36,24,"male",34000,"store","yes","Düsseldorf","books","Crime Thrillers",37.99,47,"female","mother"
"152","1095",2017-02-22 10:54:02,58,"male",50500,"store","yes","Düsseldorf","clothes","Shirt",37.99,23,"female","daughter"
"153","868",2017-04-21 23:31:29,51,"female",38500,"online","no","Münster","clothes","Shirt",37.99,13,"female","niece"
"154","867",2017-10-22 15:41:22,51,"male",38000,"store","no","Münster","disks","Movie - Blu Ray",37.99,7,"female","friend"
"155","496",2017-12-13 14:32:47,39,"male",38500,"store","no","Düsseldorf","disks","TV serial - Blu Ray",37.99,22,"female","cousin"
"156","569",2017-02-14 14:37:28,41,"female",48500,"store","yes","Osnabrück","books","Fantasy & Science Fiction",38.99,38,"female","friend"
"157","40",2017-04-20 05:58:31,21,"female",27000,"online","yes","Bielefeld","books","Biographies",38.99,25,"male","husband"
"158","844",2017-08-10 10:47:38,50,"other",49000,"online","yes","Hannover","books","Fiction",38.99,31,"male","undefined"
"159","218",2017-08-16 08:07:44,29,"male",39000,"store","yes","Osnabrück","books","Other books",38.99,60,"female","aunt"
"160","399",2017-11-30 17:44:28,36,"male",32500,"store","yes","Düsseldorf","books","Crime Thrillers",38.99,5,"female","daughter"
"161","236",2017-02-11 13:51:29,30,"male",30000,"store","yes","Hannover","disks","TV serial - DVD",39.99,27,"male","friend"
"162","307",2017-03-14 08:50:00,33,"male",29000,"online","yes","Münster","disks","Movie - DVD",39.99,73,"female","aunt"
"163","1383",2017-03-15 11:47:27,70,"female",65500,"store","yes","Münster","disks","Music-Album - CD",39.99,36,"female","friend"
"164","750",2017-06-14 17:37:50,47,"female",44500,"online","yes","Münster","books","Travel & Adventure",39.99,42,"male","husband"
"165","103",2017-08-17 01:24:00,24,"female",36500,"online","yes","Dortmund","books","Fiction",39.99,60,"female","mother"
"166","694",2017-11-18 10:26:28,45,"female",50500,"online","no","Düsseldorf","disks","Movie - DVD",39.99,29,"male","cousin"
"167","526",2017-11-19 13:56:24,40,"female",37000,"store","yes","Düsseldorf","books","Biographies",39.99,27,"female","cousin"
"168","377",2017-11-20 13:10:44,35,"female",41500,"store","no","Osnabrück","books","Fiction",39.99,108,"male","uncle"
"169","923",2017-12-15 19:33:58,52,"female",64000,"store","yes","Düsseldorf","books","Crime Thrillers",39.99,21,"male","son"
"170","566",2017-12-15 17:33:47,41,"male",46500,"store","yes","Münster","disks","Music-Album - CD",39.99,54,"female","cousin"
"171","807",2017-02-18 11:26:57,49,"female",44000,"store","no","Münster","books","Biographies",40.99,62,"female","cousin"
"172","29",2017-12-13 11:19:59,20,"female",34500,"online","yes","Paderborn","disks","Movie - DVD",40.99,65,"female","mother"
"173","833",2017-12-21 11:46:25,50,"female",37500,"store","yes","Münster","books","Crime Thrillers",40.99,41,"female","friend"
"174","340",2017-12-24 16:52:50,34,"female",39000,"store","yes","Düsseldorf","books","Fantasy & Science Fiction",40.99,44,"other","undefined"
"175","122",2017-04-19 07:33:18,25,"male",31500,"online","yes","Bielefeld","books","Fantasy & Science Fiction",41.99,18,"male","brother"
"176","264",2017-07-11 16:47:41,31,"female",36000,"store","no","Münster","books","Mystery",41.99,38,"female","sister"
"177","159",2017-08-28 10:37:47,26,"female",45500,"store","no","Hannover","disks","Movie - Blu Ray",41.99,84,"female","mother"
"178","174",2017-12-12 21:19:40,27,"female",36500,"online","no","Münster","disks","Music-Album - CD",41.99,30,"female","friend"
"179","73",2017-12-16 12:47:09,23,"female",28000,"store","no","Düsseldorf","books","Biographies",41.99,56,"male","father"
"180","1571",2017-12-18 14:23:45,94,"female",58000,"store","no","Hannover","books","Fiction",41.99,47,"female","friend"
"181","180",2017-11-21 13:31:58,27,"female",42000,"store","yes","Osnabrück","books","Religion",42.99,42,"female","friend"
"182","90",2017-12-12 08:51:33,23,"male",47500,"store","yes","Münster","books","Fantasy & Science Fiction",42.99,65,"female","aunt"
"183","255",2017-02-19 10:43:13,30,"male",55000,"store","yes","Hannover","books","Fantasy & Science Fiction",43.99,60,"male","father"
"184","479",2017-02-20 04:05:28,38,"female",48500,"online","yes","Düsseldorf","books","Fiction",43.99,76,"female","mother"
"185","1152",2017-06-14 12:47:16,60,"male",50000,"online","no","Köln","books","Crime Thrillers",43.99,66,"female","sister"
"186","260",2017-07-12 18:13:03,31,"female",33000,"store","no","Münster","books","Mystery",43.99,53,"female","mother"
"187","329",2017-11-12 18:02:22,34,"male",29000,"store","yes","Münster","books","Fantasy & Science Fiction",43.99,57,"female","mother"
"188","1207",2017-12-06 03:33:42,62,"female",41500,"online","yes","Gelsenkirchen","books","Fiction",43.99,34,"female","daughter"
"189","269",2017-12-15 09:07:47,31,"male",39500,"online","yes","Paderborn","disks","Movie - DVD",43.99,44,"female","cousin"
"190","831",2017-01-19 18:27:04,50,"male",35500,"online","yes","Düsseldorf","books","Travel & Adventure",44.99,25,"female","friend"
"191","127",2017-01-25 18:16:44,25,"female",37000,"store","no","Düsseldorf","disks","TV serial - DVD",44.99,30,"female","sister"
"192","141",2017-02-15 09:33:28,26,"male",29500,"store","yes","Düsseldorf","books","Mystery",44.99,46,"male","friend"
"193","1091",2017-10-09 14:52:49,58,"male",46500,"store","yes","Hannover","disks","TV serial - DVD",1149.42,10,"male","nephew"
"194","792",2017-10-16 16:52:53,48,"other",52500,"store","no","Münster","books","Fiction",44.99,83,"male","undefined"
"195","33",2017-11-16 12:43:13,20,"female",40500,"online","no","Münster","books","Fiction",44.99,54,"male","father"
"196","96",2017-11-18 08:46:59,24,"female",31000,"store","no","Münster","disks","TV serial - DVD",44.99,43,"male","uncle"
"197","1291",2017-01-17 13:48:15,65,"female",75000,"store","no","Osnabrück","disks","Movie - Blu Ray",45.99,52,"male","friend"
"198","842",2017-02-15 03:43:02,50,"female",47500,"online","no","Hannover","clothes","Shirt",45.99,30,"female","daughter"
"199","434",2017-02-19 22:14:45,37,"male",39500,"online","yes","Bielefeld","books","Fiction",45.99,38,"male","brother"
"200","156",2017-10-05 14:13:58,26,"female",40000,"store","yes","Münster","disks","TV serial - Blu Ray",45.99,47,"male","father"
"201","270",2017-12-10 17:10:52,31,"female",40000,"store","no","Hannover","disks","TV serial - DVD",45.99,31,"female","friend"
"202","593",2017-12-18 12:30:56,42,"female",37000,"store","yes","Münster","books","Fiction",45.99,9,"female","daughter"
"203","368",2017-02-25 12:52:43,35,"male",35000,"store","yes","Düsseldorf","books","Crime Thrillers",46.99,21,"female","cousin"
"204","60",2017-03-01 09:43:34,22,"female",38000,"online","no","Essen","clothes","Shoes",46.99,38,"female","friend"
"205","741",2017-05-16 08:40:44,47,"female",35000,"online","no","Bielefeld","books","Mystery",46.99,44,"female","sister"
"206","469",2017-10-17 12:31:17,38,"male",40000,"store","yes","Osnabrück","disks","TV serial - DVD",46.99,30,"male","brother"
"207","1427",2017-10-20 16:32:21,73,"male",62000,"store","yes","Münster","clothes","Other clothes",46.99,59,"female","cousin"
"208","471",2017-11-14 14:07:51,38,"male",43500,"store","no","Osnabrück","books","Fantasy & Science Fiction",46.99,48,"female","sister"
"209","113",2017-12-11 16:57:13,24,"male",48500,"store","yes","Düsseldorf","books","Crime Thrillers",46.99,32,"male","brother"
"210","119",2017-12-17 10:31:23,25,"female",30000,"store","yes","Osnabrück","clothes","Shirt",46.99,24,"male","boyfriend"
"211","1000",2017-02-24 14:28:28,55,"female",38000,"store","no","Münster","disks","Other disks",47.99,70,"female","cousin"
"212","241",2017-07-23 23:43:30,30,"female",36000,"online","no","Köln","books","Fiction",47.99,31,"female","wife"
"213","1425",2017-11-25 14:54:09,73,"male",51500,"store","yes","Münster","books","Crime Thrillers",47.99,49,"male","son"
"214","962",2017-12-17 10:01:26,53,"female",71500,"store","yes","Düsseldorf","books","Crime Thrillers",47.99,21,"male","nephew"
"215","501",2017-12-19 18:35:57,39,"female",43000,"store","no","Münster","books","Fantasy & Science Fiction",47.99,54,"female","cousin"
"216","314",2017-12-28 18:27:23,33,"other",38500,"store","yes","Münster","books","Fiction",47.99,82,"male","undefined"
"217","144",2017-04-09 17:33:01,26,"female",31000,"store","no","Düsseldorf","books","Religion",48.99,39,"female","friend"
"218","1245",2017-04-20 02:53:40,63,"female",55000,"online","no","Dortmund","disks","Music-Album - CD",48.99,71,"female","sister"
"219","1328",2017-06-13 10:57:09,67,"female",62500,"online","no","Gelsenkirchen","books","Crime Thrillers",48.99,43,"female","daughter"
"220","995",2017-12-13 13:55:59,55,"female",33000,"store","yes","Münster","disks","Music-Album - CD",48.99,39,"other","undefined"
"221","1077",2017-12-19 05:12:26,57,"male",65000,"online","no","Paderborn","clothes","Jeans",48.99,16,"female","daughter"
"222","1340",2017-01-06 12:51:32,68,"male",45000,"store","yes","Münster","books","Fantasy & Science Fiction",49.99,39,"male","son"
"223","1144",2017-02-16 14:32:20,60,"female",36000,"store","no","Münster","books","Crime Thrillers",49.99,54,"female","sister"
"224","814",2017-02-17 16:53:08,49,"male",51000,"store","yes","Düsseldorf","books","Biographies",49.99,45,"female","friend"
