"XCoord","YCoord","YearBuilt","Floors","PlotArea","PlotFront","PlotDepth","BuildingArea","ResidentialArea","CommercialArea","OfficeArea","IndustrialArea","LandValue","TotalValue","HeatingCost"
"804",24840.6867074424,25151.7939514015,1790,3,370,10,37,888,888,0,0,0,125193.589108181,3009077.92053467,23685.5885122802
"837",24824.4433049824,24809.6305571962,1819,5,341,11,31,1670,1670,0,0,0,135803.823814716,5448424.56458007,42238.0971995858
"840",24759.4478680567,24863.9586784411,1812,5,396,18,22,1584,1088,0,496,0,134782.977023302,5755847.57934376,41896.8367964244
"843",25017.6401577536,25063.902982045,1792,3,416,13,32,1011,1011,0,0,0,160392.133020982,3808603.68576605,28452.2729150718
"906",24769.5655646728,25069.0871709958,1806,3,370,10,37,888,888,0,0,0,163735.759300296,2900980.77977991,23073.5970944354
"923",24833.4188664463,25108.8912973646,1812,4,392,14,28,1254,1070,0,184,0,154337.160665542,4237769.91514326,34009.5828182412
"955",25218.7596027477,24842.7045315038,1811,5,364,14,26,1783,0,1783,0,0,129771.07526022,5781322.25735517,46938.3551650103
"966",24932.123644221,25068.4574085753,1803,4,308,11,28,985,862,0,123,0,129482.7563914,3612686.22286111,26258.0244997827
"29",25201.60018047,25893.7071093824,1983,3,800,25,32,2160,1998,0,162,0,234582.985024899,6736310.09705923,45295.2830236744
"32",25075.3098729777,25625.2117480617,1984,3,820,20,41,738,92,0,646,0,231620.586190838,2419165.87050981,15304.0805225429
"34",25765.2232338737,25304.1671812534,1980,3,800,20,40,1409,0,0,1409,0,203737.421669066,4638681.52658765,27523.2061877728
"46",25218.8476247741,25238.277942175,0,5,675,25,27,3037,2120,1976,917,0,204685.143721872,8591956.90299955,64239.0101529671
"47",25665.7595744496,25066.304281354,1973,3,851,23,37,2297,797,0,1500,0,281681.297847116,6433492.38636002,47423.0410228435
"48",25360.3487326693,25964.9398298934,1975,6,760,19,40,2966,645,0,2321,0,216949.751750566,9616862.7947703,59614.1766892733
"51",25898.7037757021,25262.8218436148,1975,6,792,18,44,4037,0,0,4037,0,241456.665344909,12322144.2987652,78167.3059154789
"54",26006.7738046216,25559.095605975,1976,4,816,17,48,2937,2937,0,0,0,272053.353823721,8706112.93039285,62177.7623705056
"73",25080.309975782,26148.4472472221,1981,5,748,17,44,2664,2664,0,0,0,198086.435643211,8140222.84709532,53928.2080821776
"86",25464.7787066026,25084.2691515572,1984,3,816,17,48,2203,2203,0,0,0,252377.631173283,6522124.81351339,42366.0119025078
"89",25947.1545474217,25151.9735546317,1976,6,782,17,46,4222,1153,0,3069,0,261738.264077017,12320787.5549318,80990.3340710396
"108",25130.3246021845,25389.8173347116,1981,5,861,21,41,3874,0,3874,0,0,300733.681864687,11400818.8598613,79068.197484554
"111",25871.4460131387,25520.5790789332,1983,3,924,21,44,2494,483,0,2011,0,260017.451185081,7460416.1742744,48505.7598077979
"117",25235.0987292901,26134.4049561303,1975,6,864,16,54,4665,0,1191,3474,0,235961.494765431,12969583.2045865,90562.4562278158
"119",25415.848717788,25046.0814409889,1984,5,686,14,49,2400,0,1687,713,0,184753.397132596,7567700.72540953,47234.9388411589
"128",25151.2390537858,25920.8043843973,1980,4,836,22,38,3009,774,0,2235,0,275241.924169566,8665512.6312016,64372.0233008688
"154",25114.9458107266,25712.0234384201,1983,5,799,17,47,3595,0,0,3595,0,220429.238214041,11615411.9869645,72061.8840939592
"157",26113.1672586704,25508.6671777535,1979,4,874,23,38,1048,1048,0,0,0,305348.260070151,3439631.38611573,22226.3616564205
"175",25797.848377283,25907.3278473224,1981,4,935,17,55,1122,0,0,1122,0,300112.431014539,3585366.04338253,22269.1216470082
"178",25177.2939791436,25797.9891006835,1973,3,805,23,35,2173,0,2173,0,0,234925.275648828,6464625.06247561,44449.2387554747
"179",25277.4380793736,26119.7607535869,1980,3,868,28,31,2343,0,2343,0,0,243914.727834146,7577941.90371572,46151.4436882942
"180",25931.6617612769,25736.2467201892,1978,3,686,14,49,1383,1383,0,0,0,180021.627883194,4510401.55257413,26874.8270549545
"186",25965.4956839284,25326.183981495,1982,3,893,19,47,1830,1830,0,0,0,250585.337612522,6089465.58857195,38425.2393297537
"198",25577.3788649,26111.1088749021,1980,5,792,22,36,2945,589,0,2356,0,276119.159401394,8564495.32959738,59314.3169784666
"216",25314.4695864972,25397.3233380821,1980,6,684,19,36,1359,481,0,878,0,173244.273850042,4334778.79617806,26307.1282595679
"222",25543.8094546434,25585.6854901649,1980,4,760,20,38,2736,2063,0,673,0,203818.150042556,8802074.40859582,52119.9531359462
"229",25066.0544770968,25362.175188493,1984,3,779,19,41,1176,0,0,1176,0,269691.105215787,3669953.61477749,24206.3299017088
"233",25338.2866354619,25693.2653607801,1980,4,880,16,55,2196,0,0,2196,0,299480.757862329,6170990.78774499,43379.2558294228
"243",25985.2129674832,25631.6190264188,1982,3,646,17,38,671,0,0,671,0,223855.038495129,2207719.24074809,13018.469023048
"269",25804.9975406004,25651.8449338619,1973,3,841,29,29,2270,0,0,2270,0,262315.218063258,6383392.1410583,47093.2337282745
"283",25403.5047694478,26223.3817186207,1984,6,700,14,50,3780,0,0,3780,0,225180.806799326,11129918.297891,75142.7586999229
"292",25912.9792848155,25509.7351321019,1978,4,720,16,45,2592,540,0,2052,0,233611.840702593,8454730.62140644,49133.324508064
"297",25995.2410761713,25248.6248728819,1981,4,810,18,45,2916,265,0,2651,0,276625.805598451,8875768.28998583,59952.2541934965
"304",25481.13732515,26011.9290926959,1979,4,738,18,41,1165,454,29,682,0,238124.306837283,3414987.24311877,24655.7894646284
"308",26143.4806601956,25378.3736529294,1968,6,738,18,41,3985,0,0,3985,0,192353.88169731,11562837.1201343,82575.4188456878
"313",25510.0647947224,25272.1724237781,1976,5,799,17,47,1416,0,1416,0,0,253786.15092379,4643531.37257178,26998.3952234222
"326",25510.7389857044,25124.1716158111,1974,4,768,16,48,921,391,0,530,0,253683.74247551,2935067.244549,18821.5593191439
"331",25381.5230938177,25599.1289801896,1980,6,782,17,46,4222,1594,0,2628,0,238127.107620705,13412192.9571598,85702.3374877314
"333",25294.5904726536,25107.001947239,1979,3,713,23,31,1925,1925,0,0,0,239804.910595156,6039329.54476306,39967.3803103751
"335",25040.4466559535,25581.8571369164,1984,3,806,26,31,725,0,0,725,0,246836.857859883,2406062.6754818,14532.778847865
"337",26207.9712413797,25376.9499880727,1982,5,759,23,33,3415,1623,0,1792,0,190395.110503142,10418137.1003171,68393.2140820475
"338",25183.6983126953,25335.252687335,1977,3,918,17,54,2478,1993,0,485,0,290967.588657048,8067452.29349378,49867.8922261786
"340",25993.372841305,25503.8322857581,1980,4,840,20,42,2591,0,0,2591,0,236113.502715714,7535691.73853491,52413.1184183201
"354",26020.6255656195,25502.6659767609,1975,5,900,18,50,1851,1685,0,166,0,254142.41372142,5778951.26288747,38836.3832293062
"357",26103.3303909858,25014.3548003398,1980,3,836,19,44,752,0,0,752,0,218176.55518176,2475662.80746283,14479.1598122139
"362",25203.5209348012,26111.0387875233,1978,3,840,20,42,1940,0,0,1940,0,285788.098664023,6010144.66792811,38423.1757410265
"377",25929.923447805,25025.9772283025,1988,6,720,15,48,3888,349,1337,2202,0,188677.431643009,12015490.3456103,75936.2529107893
"379",25826.3894013052,25771.5167063288,1974,4,658,14,47,2368,0,0,2368,0,167400.309657492,7123897.56868873,50162.976009707
"389",25616.2847851485,25695.693416521,1976,3,704,16,44,1253,0,0,1253,0,192450.607787073,3890713.25205003,24879.8076437889
"401",25055.1912811868,25842.6038911566,1981,7,768,24,32,4838,2111,0,2727,0,244288.467657566,14749709.3122159,94366.2590638976
"405",25391.6182963325,26015.4545854311,1987,3,624,13,48,1270,0,0,1270,0,203816.769919172,4016583.60935007,25417.8076041299
"406",25851.4041522486,25610.9326172154,1980,5,799,17,47,3595,0,1209,2386,0,231901.45693745,11326498.592765,76223.4607638537
"425",25343.3218790518,25420.2287108637,1977,6,666,18,37,1992,601,0,1391,0,205397.390109021,6228422.78759507,40991.7187687789
"429",26021.6444608095,25546.0826964118,1978,3,768,16,48,1267,0,0,1267,0,193764.325582981,3714354.96657011,25430.6275126534
"443",25410.4247051949,25408.9106200263,1975,4,806,26,31,2901,0,0,2901,0,264168.158352654,8543029.38127378,57502.9291878396
"446",25780.3696532344,25886.7855230346,1983,3,672,21,32,1814,0,0,1814,0,195061.025467515,5116096.27508088,37665.2930218573
"460",25489.5752543391,25424.3064934853,1979,4,759,23,33,2732,0,0,2732,0,200271.928000264,7850447.3635871,57268.1251972244
"462",25356.4075017037,25831.3673855737,1979,3,736,16,46,1329,239,0,1090,0,185764.038525522,4165061.7659468,26356.7641629589
"463",25346.615442335,25331.2953261193,1987,3,870,15,58,783,783,0,0,0,288286.432210822,2585556.52005239,15655.6109188766
"466",25070.9331121115,25845.9794630762,1981,5,828,18,46,3726,0,0,3726,0,234822.489143349,10626314.8677922,75795.1648280223
"475",25386.3479565275,26079.3921570294,1977,3,832,16,52,2246,0,0,2246,0,265879.548835754,7076496.19953111,47080.8852429912
"477",25127.5413390878,25746.4254554361,1982,5,722,19,38,3249,401,0,2848,0,184687.752484065,10355707.5384991,64372.7756341816
"478",25854.4041548531,25658.3418042865,1979,3,760,20,38,684,0,0,684,0,254372.324197553,2181411.01493258,13493.8377191218
"480",25353.8965756332,25428.7758995779,1981,3,658,14,47,1750,0,0,1750,0,189494.853370637,5264541.31457424,35595.2624593682
"484",26099.8377203615,25666.3488750346,1985,3,740,20,37,1998,0,0,1998,0,227452.868252527,6291908.28937893,36646.8258745351
"490",25466.6961062792,25627.5360016152,1977,5,663,17,39,2983,1584,0,1399,0,193439.092108863,9662267.64643693,60765.2065213865
"495",25076.3163767907,26186.0673611518,1978,3,825,15,55,2227,0,0,2227,0,250198.965754244,6706807.77400262,43605.3702848763
"503",25016.0421818253,25483.1638906617,1975,3,799,17,47,1901,0,0,1901,0,255938.344540237,5756054.06326915,38489.143443601
"511",26188.2631066758,25398.6316358205,1979,3,672,32,21,604,0,0,604,0,189460.845932364,2043597.70799149,11709.6774268692
"516",26148.5743380871,25168.1873670314,1976,4,855,19,45,3078,22,0,3056,0,257171.505849226,9107717.00785977,61179.8577337687
"517",25693.5611204131,25471.8715092167,1977,6,728,26,28,3549,0,2137,1412,0,246287.533966824,11302021.2630559,73000.0105864554
"530",26043.7233614568,25472.6267675869,1978,4,950,19,50,1685,0,0,1685,0,245219.706293428,5450866.25159555,33702.5087369829
"535",25400.2544135092,25478.457394056,1977,3,810,15,54,2187,0,0,2187,0,277175.360591384,6775286.74748554,43157.1995265315
"536",25002.2608890606,26135.852340376,1980,4,850,25,34,3060,2208,0,852,0,259543.810015311,9806368.09813161,64099.1417849513
"539",25915.9558470833,25096.1274274159,1976,5,754,26,29,3393,0,2168,1225,0,245522.219962114,10390778.4422233,65360.4089577016
"543",25841.1999131348,25133.6924945936,1980,3,720,30,24,1944,0,0,1944,0,200855.185864493,5802276.90658439,38709.8332925579
"559",25606.382287567,25847.1883053426,1973,5,855,19,45,3847,251,0,3596,0,240194.970505312,10841202.100573,78502.0671934844
"560",25432.3859783464,25902.1537082735,1979,4,736,23,32,2455,0,0,2455,0,199619.346681982,7894730.35610933,50090.692792712
"561",25149.0689338458,25965.485824272,1979,3,630,15,42,1289,59,0,1230,0,158593.836433953,3868703.80774355,26295.8088788421
"566",25903.0876812345,25686.2851954065,1980,6,760,20,38,1368,366,0,1002,0,235340.10842815,4119483.89038518,27064.6250032741
"567",25416.9315489382,26044.7205130477,1981,3,840,20,42,2268,0,0,2268,0,283595.144737512,6396721.56666443,46675.6212779631
"570",26074.0478395143,25694.3657384254,1986,3,918,18,51,2478,413,0,2065,0,294636.382368766,7288555.93961687,52773.3930981073
"581",25318.5712051867,26181.3572770916,1981,3,752,16,47,676,0,0,676,0,247786.481245607,2336131.24128487,13358.7704285511
"582",25408.2353927523,25883.0390169751,1972,5,760,20,38,3420,785,0,2635,0,211181.694129482,11162730.0103544,70276.8053812165
"588",25152.0594493598,26146.0111252964,1979,5,924,22,42,1386,549,0,837,0,306780.882428214,4140163.95642757,27228.1771025105
"593",25169.128199448,26015.2531235944,1979,3,795,15,53,2146,0,0,2146,0,201891.682006884,6599866.18298893,45914.7831633821
"608",25555.8486078364,25816.0108441953,1980,3,828,18,46,2235,0,0,2235,0,266617.848716956,7107976.62083879,44138.3628144661
"614",25913.0496388031,25389.7973536514,1979,6,686,14,49,3133,2253,0,880,0,186238.186295377,9473885.4921126,63163.9762410122
"615",26216.4724373716,25277.0881208126,1974,3,784,16,49,1307,0,0,1307,0,267265.22090137,4009713.59536408,26317.7377728003
"617",25383.5310939548,25738.4346309118,1978,5,954,18,53,2955,0,0,2955,0,248310.349252867,8442629.8016214,57097.6404950462
"628",25368.9540994667,25105.1332193892,1974,3,858,26,33,913,0,0,913,0,266288.606639206,3028469.34295155,18664.8485920792
"630",25404.4842610546,25571.7879377771,1979,4,690,15,46,2484,499,0,1985,0,181126.342819305,7019618.48382005,50156.7109232834
"662",25497.972188174,25085.4599978775,1983,4,550,22,25,1522,0,0,1522,0,185021.770927124,4369782.10603837,30060.2053163936
"664",25531.367968589,25215.7851972152,1980,4,792,18,44,2186,0,0,2186,0,216812.699997425,6639163.94540928,45672.5537786947
"665",25860.7912727107,25571.2215816602,1981,5,896,16,56,1344,76,0,1268,0,255826.266875863,4349311.43963784,26672.8816576419
"667",25713.7405318068,25725.1608388033,1977,3,783,29,27,2114,2114,0,0,0,212524.210261158,6454115.10650062,42981.9013100967
"677",25543.797987979,25337.9768659361,1977,6,912,19,48,1641,0,0,1641,0,276832.689856365,5177934.29856256,33033.7331471286
"678",26001.3113202479,25721.5213996824,1976,3,752,16,47,2030,0,0,2030,0,229867.922039703,5961543.82510926,40237.9032366257
"679",25561.6717589366,25830.5452214554,1974,3,765,17,45,1914,0,0,1914,0,214155.231363955,5680981.1637033,37919.7145061988
"682",25380.2660470049,25734.9510050844,1978,3,828,18,46,999,445,0,554,0,237971.73981294,3270075.07690634,18871.4718744687
"699",25766.1105163256,25039.5487260539,1978,6,950,25,38,1710,0,1710,0,0,308814.105094643,5304307.80893541,34165.3915325521
"712",25204.0128568126,25724.2773142643,1983,7,738,18,41,4649,0,0,4649,0,208279.231658159,14330532.794371,91266.3536178372
"715",25614.5712493919,25362.5713682268,1981,4,768,16,48,1615,0,154,1461,0,243553.606814146,4975492.43710332,32528.0440373474
"730",25530.6993089652,25667.6172120497,1981,3,874,19,46,2359,0,0,2359,0,268814.268289879,7591103.48059644,48004.2319309412
"733",25075.5578004873,25644.1672656219,1978,3,688,16,43,619,0,0,619,0,184261.004025489,1955284.63582003,12565.8077552489
"739",26075.3278205439,25518.89022463,1975,4,840,21,40,3024,1366,1237,421,0,253875.32517314,8670216.30802564,57738.1224098109
"743",25552.1279063965,25969.1575944889,1982,5,765,17,45,1583,236,0,1347,0,255498.277089209,5033073.13571288,30587.2699247396
"760",25536.8135291241,25194.7682623286,1980,7,782,17,46,4926,3544,0,1382,0,217907.05331089,16071235.0906541,96017.9165997483
"767",25301.6102757463,25808.8688550051,1976,5,688,16,43,3096,0,0,3096,0,179885.090408474,9891806.91215526,64562.2028733781
"772",25329.7786811254,26163.6078315787,1982,4,784,16,49,2822,0,0,2822,0,249982.556978613,7941980.6083566,53410.6593540589
"782",25451.459389695,26151.5678025316,1979,4,864,18,48,2156,0,0,2156,0,278576.204015315,6743039.7242208,44667.2725971272
"788",25663.2204136487,25633.9882244356,1977,4,850,17,50,3057,3057,0,0,0,240103.064168943,9585613.88175527,59836.8158276727
"798",26136.7481190195,25026.1242315173,1968,4,858,33,26,3088,2591,0,497,0,288631.088693999,9476011.10880729,60429.5574398085
"828",26053.9030808853,25666.849706322,1979,5,700,20,35,2964,369,0,2595,0,181824.381821789,8771273.67813447,61371.9659032558
"832",25295.292901693,25305.5607578717,1980,3,864,32,27,2332,0,0,2332,0,218719.738979638,7269427.59509375,47218.3775996635
"833",25522.8447318403,25248.3277022839,1976,4,736,23,32,2193,0,0,2193,0,256498.34972471,6719127.63417123,45356.6095939924
"835",25555.6321401922,25655.2057794761,1977,4,805,35,23,2898,0,0,2898,0,280163.424852188,8278787.5209464,59908.4173893643
"842",25283.2417311983,26151.4067135286,1980,5,658,14,47,987,129,0,858,0,167670.439956477,3255629.60355065,19629.9281609516
"858",26014.7668979369,25620.1175507158,1984,3,816,17,48,734,0,122,612,0,261910.279823095,2370034.65391435,14902.9740639314
"860",25930.5225205846,25217.9344645701,1979,4,960,40,24,3456,0,0,3456,0,330590.693771839,10753090.5742228,71422.9811035924
"863",25468.3255423457,25907.5433879625,1979,5,648,18,36,1414,454,0,960,0,216812.219819985,4128979.98405341,26993.9993632664
"865",25058.4875225737,25641.574610956,1974,5,666,18,37,2042,1281,0,761,0,225947.200171044,6633930.13314544,40479.4715751945
"866",25012.8458974138,25735.2606256027,1977,4,936,18,52,1123,0,1123,0,0,255716.301008686,3361613.7436077,23560.7429963696
"888",25138.1827487534,25414.4215621054,1981,5,780,15,52,3510,0,0,3510,0,209706.844688393,11342389.3104438,70806.425416903
"897",25081.9358542251,26204.960082192,1981,3,736,16,46,889,889,0,0,0,227022.257182002,2698083.52076579,18304.3579759397
"919",26008.989825394,25692.4691309687,1988,5,752,16,47,2468,1213,0,1255,0,244995.812788606,8022610.98915804,47634.4786689568
"927",25579.2369585016,25355.5094052572,1977,3,798,21,38,718,279,0,439,0,271868.15096098,2363461.52549144,14742.4564595652
"937",26196.0270614555,25271.5580114163,1975,4,884,26,34,3182,0,0,3182,0,297146.637882106,9794987.25756258,64948.69818652
"939",25495.4556555595,25506.7350114696,1987,4,799,17,47,1561,499,0,1062,0,212780.149137182,5130632.57824499,29410.7815812567
"946",25456.9898320924,25431.0262408108,1978,4,720,15,48,2097,1616,0,481,0,230502.885846421,6628341.53466895,42153.2050763454
"954",25656.5841351502,25540.2243027929,1979,3,820,20,41,1732,0,1732,0,0,250436.493489426,5154148.92564686,34408.6753909864
"956",25082.085771998,26219.6998496074,1985,3,736,32,23,1063,841,0,222,0,211026.570425183,3319500.06133216,21156.3193407247
"959",25380.5817435053,26014.6005428396,1979,4,784,16,49,2175,271,0,1904,0,232830.559470132,6602487.79597194,46820.62100742
"962",26094.9391987418,25455.9805195313,1980,4,880,16,55,2086,0,0,2086,0,220992.516551167,6493138.96022537,43525.0866077773
"976",25596.856580552,26106.6764588468,1987,5,756,28,27,3402,0,0,3402,0,210374.854653608,10628487.8953001,67525.9335222266
"979",25264.5889328414,25332.6372108422,1976,3,675,27,25,1822,0,0,1822,0,212158.594434732,5631077.56186125,35929.191404227
"982",25060.3712073706,26148.9455695264,1983,5,837,27,31,3766,3766,0,0,0,251208.780135051,10439578.1465495,73576.046463432
"3",25569.8589857712,24455.2609717939,1985,2,1098,18,61,1384,0,0,0,1384,189302.888504975,3488041.2057111,26587.8571029932
"11",25477.3539323203,24306.7725144792,1991,3,1113,21,53,1254,0,0,1254,0,220793.784166058,3402029.86451096,6689.37541812947
"13",25246.8539280971,24782.6563250273,1993,1,1071,21,51,963,0,0,0,963,126156.732750381,2553773.59738802,5111.95642455344
"17",25608.2299737713,24792.2771000303,1995,2,1276,29,44,2296,0,0,0,2296,179196.882238798,5718950.97784698,12038.6267861068
"22",25943.2366547383,24246.7684652656,1993,1,1144,26,44,416,0,0,0,416,215414.223147929,1379507.8450039,2202.86145903577
"23",25903.9214965854,24308.4819372743,1995,3,1155,21,55,1927,0,0,1927,0,121466.433744645,5236521.12191822,10248.5872418449
"28",25267.6722228169,24408.6899205577,1984,2,1134,21,54,1003,0,0,0,1003,119433.512479858,2648106.79362123,20347.3378660946
"36",25709.5164006504,24154.8647813033,1991,2,1098,18,61,1976,0,0,0,1976,218969.389332924,5146796.17164424,10439.454746232
"58",25927.1524769616,24313.1439518183,1989,3,1152,24,48,3110,0,0,0,3110,197290.715441108,7575964.03990616,63949.6177342833
"61",25568.1187072918,24414.5878544077,1996,2,1098,18,61,1976,0,0,0,1976,157718.111441843,4891954.25031949,12428.6566368633
"64",25598.3509051349,24096.3318203576,1998,1,1053,27,39,574,306,0,0,268,170581.744412868,1657302.53469122,3195.24581259749
"79",25573.7645022601,24522.3275735043,1987,4,1000,20,50,3600,0,0,2606,994,143618.537695147,9204637.39635888,70526.9095685948
"103",25983.4860719871,24301.2135098688,1991,3,1176,24,49,2811,0,0,2811,0,146971.522648819,7285557.79734871,14077.8643153479
"107",25502.5307793158,24123.7648653332,1995,2,1092,21,52,1965,0,0,1965,0,205269.832468405,4914739.75696675,10500.6594680359
"115",25108.9425461678,24369.6563048288,1993,1,1260,20,63,1134,0,0,0,1134,191588.524428662,3307287.99003758,6593.93721758306
"126",25257.5363604178,24778.2011912204,1996,4,1140,19,60,4104,0,0,0,4104,167060.041745659,10127904.2111236,22279.8539996516
"131",25535.9307052875,24544.289605692,1989,1,980,20,49,535,0,0,535,0,152136.917664204,1584005.46356058,10894.0282828819
"155",25630.71559557,24912.6547230408,1989,2,1035,23,45,1863,0,0,0,1863,140554.709269898,4625359.64679918,35376.7515083146
"182",25751.6045807861,24207.6626869384,1991,2,1071,21,51,677,0,0,0,677,118254.776979354,1885811.27739614,3400.87893927179
"184",25660.8538156104,24110.0944443606,1996,1,990,33,30,297,0,0,0,297,119064.358815551,881297.117547342,1625.52494562828
"188",25410.8150839984,24065.1016642805,1987,4,945,27,35,3091,0,0,3091,0,183606.971240602,7740310.61702413,63110.5546846463
"205",25813.2552617409,24826.1696922127,1990,2,1170,18,65,2106,0,0,2106,0,194442.477960605,6146018.81599724,40396.0640143181
"207",25572.5177834259,24150.3028906882,1989,1,1080,27,40,324,0,0,0,324,207787.475544959,985659.378815163,6730.16517881116
"230",25161.8098390814,24731.3926373608,1992,3,1122,33,34,2162,0,0,0,2162,218610.528941872,5241617.14863381,12013.7083683542
"232",26040.4421921907,24477.0975415595,1992,1,1210,22,55,943,0,0,0,943,180908.427960472,2649944.45495941,4773.92519318229
"249",25000.0962766401,24661.2738822587,1990,3,1113,21,53,2601,0,0,0,2601,156523.848461173,6386196.14259519,51274.3543493774
"264",25250.2802959019,24541.7805514298,1990,2,1107,41,27,1992,0,0,0,1992,153482.234750642,4908864.81416761,40456.8262243341
"275",25480.0312412566,24158.5839476902,1993,2,1100,22,50,1366,0,0,0,1366,140819.790293463,3501630.35902535,7261.42839941657
"282",25557.3277078156,24772.4078160245,1993,1,1080,20,54,667,0,0,0,667,195999.685102142,2043188.71932093,3810.45655143425
"284",25795.3990486473,24262.7670981456,1988,1,1188,27,44,764,0,0,0,764,129944.856168609,1975505.78853833,15643.6747603042
"293",25348.3942730941,24370.6328370608,1987,1,1152,18,64,1036,0,0,0,1036,209954.246914387,2621493.68016813,21626.0120854605
"296",25479.6825921091,24172.7640170138,1994,2,1224,18,68,2203,0,0,0,2203,214228.464814089,5509312.25907051,11095.4214349529
